股票代码,股票简称,最新价,最新涨跌幅,个股热度[20240606],个股热度排名[20240606],market_code,code
000423.SZ,东阿阿胶,69.80,1.409,33503.5,1352,33,000423
600381.SH,ST春天,2.09,-5.000,33433.5,1353,22,600381
000727.SZ,冠捷科技,2.05,-1.914,33427.5,1354,33,000727
300398.SZ,飞凯材料,10.81,-1.638,33365.5,1355,33,300398
002642.SZ,荣联科技,5.03,-5.981,33293.0,1356,33,002642
002643.SZ,万润股份,10.81,-1.727,33291.5,1357,33,002643
000960.SZ,锡业股份,15.81,0.637,33251.5,1358,33,000960
002635.SZ,安洁科技,14.58,-3.380,33226.5,1359,33,002635
300363.SZ,博腾股份,13.49,-4.866,33220.5,1360,33,300363
600104.SH,上汽集团,14.14,-0.212,33213.5,1361,17,600104
300100.SZ,双林股份,9.81,-5.309,33190.0,1362,33,300100
600845.SH,宝信软件,41.30,-0.048,33145.5,1363,17,600845
002518.SZ,科士达,19.44,-3.042,33141.5,1364,33,002518
300255.SZ,常山药业,9.48,-4.819,33137.5,1365,33,300255
300390.SZ,天华新能,19.29,-2.723,33068.0,1366,33,300390
600822.SH,上海物贸,7.85,-6.548,33049.5,1367,17,600822
002056.SZ,横店东磁,13.56,-1.810,33022.0,1368,33,002056
002605.SZ,姚记科技,22.06,-2.562,32993.0,1369,33,002605
601567.SH,三星医疗,34.93,1.837,32992.5,1370,17,601567
301325.SZ,曼恩斯特,46.26,-5.803,32968.5,1371,33,301325
002251.SZ,*ST步高,3.18,-4.505,32941.5,1372,33,002251
300824.SZ,北鼎股份,7.50,-3.226,32897.5,1373,33,300824
301031.SZ,中熔电气,88.56,0.992,32895.5,1374,33,301031
000056.SZ,皇庭国际,1.82,-7.614,32839.0,1375,33,000056
600728.SH,佳都科技,3.72,-5.102,32830.5,1376,17,600728
301359.SZ,东南电子,18.97,2.485,32815.5,1377,33,301359
002819.SZ,东方中科,21.07,-6.770,32801.0,1378,33,002819
002416.SZ,爱施德,9.80,3.485,32795.5,1379,33,002416
002047.SZ,宝鹰股份,1.43,-10.063,32785.5,1380,33,002047
002900.SZ,哈三联,8.86,-6.045,32783.5,1381,33,002900
300343.SZ,联创股份,4.93,-5.010,32777.5,1382,33,300343
000014.SZ,沙河股份,9.23,-6.104,32728.0,1383,33,000014
300590.SZ,移为通信,10.19,-5.473,32722.0,1384,33,300590
300272.SZ,开能健康,4.95,-5.354,32714.5,1385,33,300272
600335.SH,国机汽车,6.15,-5.093,32682.5,1386,17,600335
300751.SZ,迈为股份,137.22,1.120,32677.5,1387,33,300751
603383.SH,顶点软件,33.40,1.891,32646.5,1388,17,603383
300302.SZ,同有科技,9.44,-3.967,32644.5,1389,33,300302
601319.SH,中国人保,5.27,-0.753,32635.0,1390,17,601319
601001.SH,晋控煤业,18.80,2.118,32616.0,1391,17,601001
002533.SZ,金杯电工,9.99,-0.696,32607.0,1392,33,002533
002428.SZ,云南锗业,9.30,-2.413,32603.5,1393,33,002428
603058.SH,永吉股份,7.27,-2.153,32593.5,1394,17,603058
603396.SH,金辰股份,35.80,-4.989,32535.5,1395,17,603396
300539.SZ,横河精密,7.74,-9.155,32534.0,1396,33,300539
002536.SZ,飞龙股份,10.06,-2.708,32529.0,1397,33,002536
002587.SZ,奥拓电子,5.01,-4.389,32525.5,1398,33,002587
603037.SH,凯众股份,16.85,-4.910,32489.0,1399,17,603037
300989.SZ,蕾奥规划,11.64,-7.984,32481.5,1400,33,300989
600138.SH,中青旅,9.99,-1.089,32469.5,1401,17,600138
600535.SH,天士力,13.67,-1.228,32457.5,1402,17,600535
300254.SZ,仟源医药,8.03,-5.083,32450.0,1403,33,300254
300365.SZ,恒华科技,4.72,-5.976,32363.0,1404,33,300365
002796.SZ,世嘉科技,7.42,-5.236,32352.5,1405,33,002796
301127.SZ,天源环保,11.19,-5.009,32331.5,1406,33,301127
300276.SZ,三丰智能,3.21,-6.686,32317.0,1408,33,300276
601990.SH,南京证券,7.79,-1.517,32317.0,1407,17,601990
300536.SZ,*ST农尚,8.12,-8.041,32255.0,1409,33,300536
002168.SZ,惠程科技,2.22,-8.642,32247.5,1410,33,002168
603133.SH,退市碳元,0.33,0.000,32242.0,1411,21,603133
301217.SZ,铜冠铜箔,9.76,-4.966,32222.5,1412,33,301217
002984.SZ,森麒麟,25.46,0.315,32212.5,1413,33,002984
002148.SZ,北纬科技,4.31,-5.895,32205.0,1414,33,002148
603893.SH,瑞芯微,56.16,-1.750,32190.0,1415,17,603893
301120.SZ,新特电气,8.74,-6.022,32151.0,1416,33,301120
002737.SZ,葵花药业,30.10,0.973,32143.0,1417,33,002737
603392.SH,万泰生物,66.29,-1.207,32127.0,1418,17,603392
603011.SH,合锻智能,5.72,-5.611,32050.0,1419,17,603011
301205.SZ,联特科技,64.70,-4.247,32039.0,1420,33,301205
002682.SZ,龙洲股份,3.53,-5.362,31977.5,1421,33,002682
002985.SZ,北摩高科,24.13,-5.779,31956.5,1423,33,002985
600115.SH,中国东航,3.95,-0.754,31956.5,1422,17,600115
002338.SZ,奥普光电,26.47,-2.469,31949.0,1424,33,002338
002559.SZ,亚威股份,7.49,-3.728,31912.0,1425,33,002559
002007.SZ,华兰生物,18.03,-1.797,31828.0,1426,33,002007
002713.SZ,东易日盛,2.33,-10.039,31819.5,1427,33,002713
000525.SZ,ST红太阳,5.99,-4.921,31814.0,1428,33,000525
002472.SZ,双环传动,22.83,-2.059,31754.0,1429,33,002472
002452.SZ,长高电新,7.35,-1.475,31753.0,1430,33,002452
601658.SH,邮储银行,4.99,-0.598,31750.5,1431,17,601658
600779.SH,水井坊,43.92,-1.215,31738.5,1432,17,600779
002315.SZ,焦点科技,28.49,-2.164,31731.0,1433,33,002315
300366.SZ,创意信息,7.06,-6.983,31715.0,1434,33,300366
601860.SH,紫金银行,2.50,-1.186,31712.0,1435,17,601860
600776.SH,东方通信,9.65,-2.624,31683.0,1436,17,600776
002639.SZ,雪人股份,5.11,-5.019,31618.0,1437,33,002639
000983.SZ,山西焦煤,10.92,1.771,31575.0,1438,33,000983
